FurID,ZeroTo30,ThirtyOneToSixty,SixtyOneToNinety,NinetyOneToOneTwenty,OneTwentyOneToOneEighty,MoreThanOneEighty
FUR14674982710,6373.76,0.0,0.0,0.0,0.0,0.0
FUR14680461568,0.0,0.0,0.0,0.0,0.0,9909.64
FUR14697247971,0.0,0.0,0.0,6252.82,0.0,0.0
FUR14709215361,5722.92,0.0,0.0,0.0,0.0,0.0
FUR14717051366,9909.64,5374.719999999999,4534.919999999998,0.0,0.0,0.0
FUR14756567866,6873.34,0.0,0.0,0.0,0.0,0.0
FUR14768671426,0.0,0.0,0.0,13921.64,14144.66,6737.800000000003
FUR14769467834,0.0,0.0,0.0,0.0,0.0,2452.226667
FUR14780778383,9831.68,0.0,0.0,0.0,0.0,0.0
FUR14803020475,6960.83,0.0,0.0,0.0,0.0,0.0
FUR14844034061,5564.88,0.0,0.0,0.0,0.0,0.0
FUR14859444890,0.0,0.0,0.0,7183.84,13698.619999999999,0.0
FUR14867467850,13747.0,6112.583330000001,0.0,0.0,0.0,0.0
FUR14869741824,0.0,0.0,0.0,0.0,0.0,4954.82
FUR14869743763,8140.82,0.0,0.0,0.0,0.0,0.0
FUR14870489352,0.0,0.0,5898.82,5898.82,11797.64,3748.540000000001
FUR14876725712,0.0,0.0,0.0,0.0,6873.5,0.0
FUR14879322025,0.0,0.0,0.0,0.0,0.0,6960.82
FUR14890685789,0.0,0.0,0.0,0.0,0.0,26205.0
FUR14894262004,7729.0,0.0,0.0,0.0,0.0,0.0
FUR14909554588,0.0,0.0,0.0,0.0,8547.92,32156.18
FUR14932813022,0.0,0.0,0.0,1830.6,0.0,0.0
FUR14939633001,6147.91,0.0,0.0,0.0,0.0,0.0
FUR14958747452,13223.16,5005.4000000000015,0.0,0.0,0.0,0.0
FUR14962421441,0.0,0.0,0.0,0.0,0.0,26205.0
FUR14962429709,12505.64,2084.1000000000004,0.0,0.0,0.0,0.0
FUR14962456858,8258.82,0.0,0.0,0.0,0.0,0.0
FUR14968452187,0.0,0.0,0.0,0.0,0.0,18758.46
FUR14983896623,0.0,0.0,0.0,0.0,0.0,6960.82
FUR14985545747,16281.640000000001,0.0,0.0,0.0,0.0,0.0
FUR14990961567,4954.82,0.0,0.0,0.0,0.0,0.0
FUR14991712574,0.0,0.0,0.0,0.0,12505.64,0.0
FUR14995372517,0.0,0.0,0.0,8257.64,4128.82,3096.6100000000006
FUR15000650533,0.0,0.0,0.0,0.0,0.0,14864.46
FUR15007161840,0.0,0.0,0.0,0.0,0.0,7280.000003
FUR15007253442,0.0,0.0,0.0,0.0,6212.7,6212.7
FUR15014164199,13747.0,4543.0,4543.0,4543.0,9086.0,2024.8799999999974
FUR15021199808,0.0,0.0,0.0,0.0,0.0,245.44
FUR15025177457,0.0,0.0,0.0,0.0,0.0,7729.0
FUR15029275555,6960.82,0.0,0.0,0.0,0.0,0.0
FUR15029316121,0.0,0.0,0.0,0.0,9909.64,0.0
FUR15030894131,0.0,0.0,0.0,0.0,0.0,8140.82
FUR15042939817,0.0,0.0,0.0,0.0,0.0,6252.82
FUR15049042283,0.0,0.0,0.0,0.0,0.0,4954.82
FUR15052068450,0.0,0.0,0.0,0.0,0.0,14864.46
FUR15053028866,0.0,0.0,0.0,0.0,0.0,4954.82
FUR15054480074,16281.64,0.0,0.0,0.0,0.0,0.0
FUR15062260348,0.0,10749.439999999999,4954.82,4954.82,9909.64,9069.839999999997
FUR15067583386,0.0,0.0,0.0,0.0,6960.82,27843.28
FUR15082468990,0.0,0.0,0.0,0.0,0.0,4954.82
FUR15085985191,12862.25,0.0,0.0,0.0,0.0,0.0
FUR15086854904,0.0,0.0,0.0,0.0,18632.2,35703.259999999995
FUR15098510233,0.0,6252.82,0.0,0.0,0.0,0.0
FUR15103755757,0.0,0.0,0.0,0.0,5862.24,0.0
FUR15106581747,0.0,0.0,0.0,0.0,0.0,21840.0
FUR15112516237,0.0,20882.46,0.0,0.0,0.0,0.0
FUR15122421164,4954.82,0.0,0.0,0.0,0.0,0.0
FUR15125534191,0.0,0.0,0.0,0.0,0.0,6960.82
FUR15134161850,0.0,0.0,0.0,0.0,0.0,32563.28
FUR15142927960,7729.0,0.0,0.0,0.0,0.0,0.0
FUR15156978610,9909.64,0.0,0.0,0.0,0.0,0.0
FUR15159176897,409.9,6010.4800000000005,0.0,0.0,0.0,0.0
FUR15166868434,9909.64,4954.82,0.0,0.0,0.0,0.0
FUR15167341131,0.0,0.0,0.0,0.0,0.0,23187.0
FUR15171291171,0.0,0.0,0.0,0.0,6960.82,0.0
FUR15171372261,0.0,0.0,0.0,0.0,0.0,15795.0
FUR15172926903,0.0,0.0,0.0,8590.4,14498.200000000003,0.0
FUR15174875552,0.0,0.0,0.0,0.0,0.0,23685.0
FUR15182026870,0.0,0.0,358.7416667,0.0,0.0,0.0
FUR15188553473,0.0,0.0,0.0,4954.82,0.0,0.0
FUR15192926320,0.0,0.0,0.0,0.0,6873.5,18523.5
FUR15201728578,0.0,0.0,0.0,0.0,0.0,4199.0
FUR15205898064,0.0,0.0,0.0,0.0,0.0,20697.0
FUR15207462520,0.0,0.0,0.0,0.0,0.0,7245.583333
FUR15213036139,0.0,0.0,0.0,6635.3,0.0,0.0
FUR15221343760,4246.82,0.0,0.0,0.0,0.0,0.0
FUR15244164949,9909.64,4954.82,4954.82,4954.82,0.0,0.0
FUR15247653870,0.0,0.0,0.0,0.0,15458.0,7729.0
FUR15251780062,0.0,0.0,0.0,0.0,0.0,22257.3
FUR15252890902,0.0,0.0,0.0,0.0,0.0,33563.88
FUR15257054495,0.0,0.0,0.0,8140.82,0.0,0.0
FUR15261216790,16281.64,0.0,0.0,0.0,0.0,0.0
FUR15269774848,0.0,0.0,5418.06,5418.06,802.3533300000017,0.0
FUR15271451752,0.0,0.0,0.0,0.0,0.0,4128.82
FUR15272296484,0.0,0.0,0.0,0.0,6960.82,0.0
FUR15278359493,0.0,0.0,0.0,0.0,0.0,4954.82
FUR15279167229,16281.64,8140.819999999998,0.0,0.0,0.0,0.0
FUR15280148022,0.0,0.0,0.0,4255.026667,0.0,0.0
FUR15280332819,0.0,0.0,0.0,0.0,0.0,21976.28
FUR15283437149,0.0,0.0,0.0,0.0,4664.88,0.0
FUR15285634145,0.0,0.0,0.0,0.0,0.0,4954.82
FUR15286023209,0.0,0.0,4128.82,0.0,0.0,0.0
FUR15287061063,0.0,0.0,0.0,0.0,0.0,18758.46
FUR15290576563,0.0,0.0,0.0,0.0,0.0,26164.14
FUR15296841402,0.0,0.0,0.0,0.0,18632.200000000004,0.0
FUR15302079970,0.0,0.0,0.0,0.0,0.0,25011.28
FUR15302946350,0.0,0.0,0.0,0.0,0.0,21840.0
FUR15308913429,0.0,0.0,0.0,0.0,4954.82,0.0
FUR15311615899,9909.64,118.0,0.0,0.0,0.0,0.0
FUR15316360102,0.0,0.0,0.0,0.0,0.0,4788.9
FUR15318119009,0.0,0.0,0.0,0.0,0.0,6603.28
FUR15319361374,0.0,0.0,0.0,0.0,0.0,23466.32
FUR15321062690,0.0,0.0,0.0,0.0,0.0,27843.28
FUR15321543209,0.0,0.0,0.0,0.0,5593.28,0.0
FUR15321797863,4954.82,0.0,0.0,0.0,0.0,0.0
